iso,role,url_fr,url_en
SYC,debtor,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/seychelles.html,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/seychelles.html
TCD,debtor,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/tchad.html,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/tchad.html
TGO,debtor,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/togo.html,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/togo.html
TJK,debtor,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/tadjikistan.html,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/tadjikistan.html
TTO,creditor,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/trinite-tobaggo.html,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/trinite-tobaggo.html
TTO,debtor,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/trinite-et-tobago.html,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/trinite-et-tobago.html
TUR,debtor,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/turquie.html,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/turquie.html
TZA,debtor,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/tanzanie.html,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/tanzanie.html
UKR,debtor,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/ukraine.html,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/ukraine.html
USA,creditor,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/etats-unis-d-amerique.html,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/etats-unis-d-amerique.html
VCT,debtor,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/st-vincent.html,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/st-vincent.html
VNM,debtor,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/vietnam.html,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/vietnam.html
WSM,debtor,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/samoa.html,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/samoa.html
YEM,debtor,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/yemen.html,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/yemen.html
ZAF,creditor,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/afrique-du-sud.html,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/afrique-du-sud.html
