iso,country,oda_usd,non_oda_usd,total_usd,type,country_profile
ROU,Romania,334812684.00,0.00,334812684.00,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/roumanie.html
RWA,Rwanda,657182513.30,7378862.08,664561375.38,encours,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/rwanda.html
SAU,Saudi Arabia,0.00,372178671.50,372178671.50,encours,
SDN,Sudan,1347550449.00,3227294046.00,4574844495.00,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/soudan.html
SEN,Senegal,2141823785.00,1191372788.00,3333196573.00,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/senegal.html
SLE,Sierra Leone,43004823.33,0.00,43004823.33,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/sierra-leone.html
SLV,El Salvador,454511768.30,110000.00,454621768.30,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/el-salvador.html
SOM,Somalia,41334018.82,5418024.32,46752043.14,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/somalie.html
SRB,Serbia,1099676858.00,872611935.20,1972288793.20,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/serbie.html
STP,São Tomé and Príncipe,905925.00,18070000.00,18975925.00,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/sao-tome-et-principe.html
SUR,Suriname,30717330.36,46290274.37,77007604.73,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/suriname.html
SVK,Slovak Republic,976007.68,0.00,976007.68,encours,
SWZ,Eswatini,19258797.18,473000.00,19731797.18,encours,
SYC,Seychelles,19556122.02,7889024.46,27445146.48,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/seychelles.html
